materials    DT  SM  YM  VPA  D
PdSeO3	205.0910622	11.723	28.885472	15.46848995	5.010619907
NdSi2Ru	381.0595185	62.129	159.920046	18.50265315	6.764223153
Si5Pt6	314.6313273	70.297	186.708832	15.32126664	12.91640757
Si5Rh4	487.7117017	90.151	232.048674	14.1580512	7.194177195
Sr3(GeN)2	302.1532914	30.528	76.136832	22.40966826	4.616947034
SrSb2	158.6138989	13.043	34.120488	32.62846892	5.617496261
TaNi2Te3	134.0441502	10.537	27.18546	23.79105871	7.923500166
TaSe3	157.253512	13.686	33.202236	22.76157288	7.620513766
TiNi	351.2317054	40.28	110.68944	13.35292978	6.625800859
TiS3	206.093609	8.458	21.331076	19.15080536	3.122852728
Y2S3	327.7310146	30.591	79.414236	23.91541597	3.805067246
Zr2CoP	444.3149712	79.053	203.324316	16.59497967	6.813145529
Zr2NiP	454.0850852	82.497	210.697338	16.68751112	6.769401587
ZrS3	211.7637592	11.217	28.020066	21.55919347	3.608861479
ZrSe3	165.9563713	11.664	27.853632	24.92645023	5.464371229
Al13Os4	443.8941042	78.001	198.90255	15.23141563	7.129181969
Al2Te5	97.79109388	4.37	10.46178	34.32518969	4.782126199
Al3Mo	600.5148082	98.633	238.100062	14.94338435	4.913943991
Al8Mo3	607.7092107	104.805	252.58005	14.89831675	5.103490179
AlCl3	198.309761	6.716	16.467632	23.00284796	2.406410435
AlCu	490.8897158	68.61	171.11334	13.6378946	5.511280107
As3W2	333.2924995	76.425	192.8967	17.50486985	11.24004627
AsPd5	273.6519716	44.754	122.267928	15.16354444	11.07901789
AuSe	92.99055947	6.012	14.753448	24.97634441	9.172416105
Ba2NdNbO6	369.7020785	48.803	129.425556	16.37684816	6.162807453
BaEr2F8	322.7503033	36.511	95.877886	13.65285075	6.897645578
BaY2F8	350.6382983	31.896	84.333024	14.02086512	5.029392993
Bi2Pd3Se2	130.7855872	11.3	31.5496	22.30632179	9.519506765
Ce2Mo2C3	428.3709625	81.553	203.8825	15.17768243	7.942047558
Ce2Re2Si2C	317.0264118	59.756	152.616824	18.25017022	9.36948252
CeGaCo	285.7788373	41.614	107.78026	18.04759292	8.243144146
Ca(CuSn)2	258.0787622	28.942	75.364968	21.16271325	6.349256762
CaMoN3	460.5541776	46.526	121.805068	14.00983293	4.22045319
CoGe	445.5917421	83.056	211.7928	12.95492514	8.432408065
Cs2U(Cl2O)2	125.5840748	5.649	14.698698	31.35503427	3.987540841
CuBr2	119.6124402	5.1	13.4844	30.32971366	4.076179187
CuCl2	139.0976242	4.404	10.666488	22.82086545	3.26109161
Dy2Al3Si2	416.5939635	65.851	157.910698	18.86095485	5.812166226
Dy2Cr2C3	405.0851742	68.541	179.988666	13.36832125	8.251821631
Dy2Fe2Si2C	429.5762432	81.477	202.06296	15.34585738	7.804425283
Er2Al3Si2	413.0131326	66.418	159.801708	18.46736707	6.058300733
Er2Fe2Si2C	429.1565788	83.433	206.580108	14.82082514	8.233243081
Er2Si2O7	470.9737154	64.453	168.737954	12.70078421	5.974776008
Ga2O3	527.7257039	70.553	183.861118	10.57337629	5.887588
GaCl3	61.55038421	0.772	1.809568	30.65871862	2.384240544
GaTe	125.3793434	7.349	17.578808	31.78537707	5.154297046
GeAs	201.4076924	15.662	37.27556	24.69338313	4.961487057
GePdS3	134.9209857	5.086	12.633624	22.81245166	4.007212269
HfCu2Te3	199.8680634	23.641	59.57532	24.9835925	7.625572689
Ho2Cr2C3	407.0075782	70.234	183.872612	13.21876419	8.432410263
InBr3	97.35057434	3.834	9.400968	32.89045424	4.474785533
K2CN2	330.1949104	14.596	37.891216	17.9378639	2.188778909
K2PdF4	216.7108179	9.85	26.004	17.04541702	3.626893953
KLiZnO2	402.7837156	29.535	75.78681	13.39412597	3.55677577
La2Ni5B4	428.7830486	65.972	170.471648	12.62331935	7.348864436
Li2PdO3	531.3924392	56.718	143.836848	8.950907225	5.203738012
Li2US3	276.9879077	25.019	62.747652	19.92871039	4.834260485
Li5SbO5	651.8961561	64.692	157.977864	9.606452507	3.715820538
Li5TaO5	601.6500988	68.963	168.683498	9.633399844	4.63291714
Li9Al4	546.9018873	23.614	56.579144	16.50040447	1.319071677
LiCuO2	476.9736574	41.021	105.341928	9.234603732	4.607173183
LiN3	478.0501805	18.796	48.004984	10.52192711	1.931723591
Lu2Mo2C3	416.2677796	89.256	227.245776	14.02756886	9.771940965
Mg2As2O7	512.521611	48.223	125.283354	11.82399667	3.963532092
Mn(CrSe2)2	279.7844354	29.443	73.548614	20.67467535	5.447482598
Na2CN2	418.4268303	19.095	49.37967	12.74726672	2.240674881
Na2Zr(CuS2)2	285.7370113	19.957	52.766308	18.73074286	3.866808775
Na2ZrSe3	257.9733292	21.712	53.932608	23.88115447	4.335219854
Na5BiO5	406.9104591	38.102	93.959532	13.68723765	4.454948399
Na5OsO6	413.0627076	37.641	92.22045	11.70875563	4.741232334
Na5ReO6	414.603344	37.483	92.058248	11.7657187	4.670962858
Na6ZnSn2	196.9655242	9.403	23.620336	27.86373452	2.918615891
NaAgO2	322.8247339	26.511	69.087666	12.82567161	5.271264458
NaCuO2	400.4973564	31.25	79.5625	11.3266724	4.34441988
NaN3	191.518758	3.498	9.997284	14.0439564	1.921670517
Nb2Se	341.2762211	57.905	149.62652	19.00726143	7.710483235
Nb6C5	658.903137	160.992	393.464448	12.41933773	7.505664635
NbAlO4	611.328572	74.472	195.414528	11.91846769	4.269971267
NbAs2	439.4551983	90.659	219.032144	18.33342238	7.328967328
NbGaO4	499.2021416	59.533	159.191242	12.67074368	4.950024552
NbSb2	338.8777794	69.318	167.74956	22.99830326	8.096961772
NbTe2	182.4673991	19.583	47.665022	27.69939417	6.95615988
Nd2BC	244.7591066	25.186	64.123556	22.0068273	5.8724421
Ni3Sn4	307.8204368	50.419	128.870964	17.74528295	8.701535132
O2	101.9525378	1.038	2.597076	13.45547603	1.974484494
Rb2CN2	228.7942458	11.927	31.034054	20.68411267	3.387206683
Sm2Ge2Ru	275.0831119	44.545	114.48065	21.68308102	8.379169975
SnI2	56.00883809	1.628	4.630032	40.28818728	5.117978698
SF6	117.2086183	1.734	4.709544	12.36126357	2.802888788
Sc2CoSi2	561.6094661	78.022	192.402252	16.02470589	4.248903052
Sc2FeSi2	558.2972581	75.98	185.3912	16.13595598	4.156048032
Sc2Si2O7	684.6919165	72.463	188.838578	11.54912436	3.373334354
Sc2Ti2O7	538.2525767	48.995	131.40459	13.17684316	3.409876903
RbSb2	117.6983046	6.536	16.954384	41.62780624	4.374456593
Re3P4	473.5779973	136.862	329.016248	14.59912161	11.09014434
Sr2C(NCl)2	294.1284492	18.993	49.647702	21.72501697	3.124749364
Sr2In3Rh2	224.4442726	26.802	69.738804	24.43237378	7.044104716
Sr3(AlGe2)2	298.2607741	31.388	76.649496	24.55525319	4.563781663
SrAs3	238.5937489	22.866	57.073536	25.51978858	5.081616982
SrN	304.7745618	25.771	63.39666	21.53159027	3.918779418
Te3As2	147.9260008	11.435	27.444	30.65208834	5.771057634
Ti2NiS4	469.2685658	53.452	134.16452	16.26424215	4.123098187
