materials    DTA  SM  YM  VPA  D  NA  NE
Ba1O3Pu1	193.57	57.0776	147.954	17.1639	8.30831	5	3
Ir4Zr12	76.5921	22.1429	62.8422	20.7578	9.31713	16	2
Dy2S4	179.405	46.7831	120.255	19.7673	6.34569	6	2
Li3Sb1	211.037	26.0453	61.8089	17.6357	3.35609	4	2
Ba2Be4N4	242.291	61.9904	153.686	13.707	4.44283	10	3
Au2Nb1	171.26	59.4529	159.492	17.5734	15.3341	3	2
Dy2Pd2Sb2	121.621	32.834	87.8227	22.7714	9.49567	6	3
Cd2Cu2F8	157.681	33.836	90.1112	12.6938	5.49315	12	3
Hf2Si4	245.994	93.691	226.785	16.3995	7.92023	6	2
Pt1Sb1Tb1	162.247	46.78	121.419	24.0282	10.9597	3	3
F3Na1V1	223.98	25.5723	68.1533	14.3955	3.0205	5	3
C4Os8Zr16	116.578	79.4066	208.439	17.4917	10.2703	28	3
La4Sb2	117.769	29.3254	74.1226	33.7543	6.55212	6	2
B4Nb6	301.703	168.68	407.764	12.9772	7.68617	10	2
Hf4P4	184	82.0453	207.065	18.0635	9.6278	8	2
Ag2In1Y1	112.763	19.4227	53.5122	21.4201	8.12943	4	3
Ge4Ir4Mn12	111.626	47.4245	124.448	16.1937	8.81096	20	3
P1Sn1	239.698	38.5553	98.2915	22.611	5.49562	2	2
Er3Pd3Sn3	107.207	37.3091	99.2695	21.8684	9.93083	9	3
B2Mg16Rh8	114.431	29.0538	77.4941	17.4032	4.52763	26	3
P4	610	82.5862	199.295	14.6068	3.52119	4	1
Fe4Si4Ta4	175.59	89.7236	228.408	14.7706	9.92614	12	3
O3Re1	357.818	122.915	313.164	13.7296	7.08131	4	2
C1Ce1	330.179	72.8587	184.289	17.4773	7.22707	2	2
Hf3Rh3Sn3	122.591	49.8145	134.799	19.0663	11.6149	9	3
B1In1Sc3	250.881	54.5727	132.068	21.55	4.01453	5	3
S12Y8	141.098	40.8741	104.362	21.7724	4.17937	20	2
Ga4Ir4Y4	92.1627	29.9397	83.3259	19.0223	10.2094	12	3
Ir1N1	165.09	28.2691	81.7712	12.3295	13.8873	2	2
Co4Sn4Tb4	117.06	44.4214	110.856	22.796	8.1718	12	3
In1P1Pt5	130.689	60.2943	164.617	15.8546	16.7763	7	3
Zr2	217.474	35.9976	95.8433	23.4192	6.46795	2	1
Al36Mg6Mn4	104.66	25.3083	67.2923	17.396	2.77426	46	3
Na1O3W1	311.115	99.8725	258.119	12.1255	6.97981	5	3
C6Si6	484.837	187.749	435.199	10.4958	3.17182	12	2
Cd6Ho2	98.5	26.3701	68.2776	23.5979	8.83403	8	2
O8Pt6	127.793	57.2648	157.534	12.8599	11.9767	14	2
Hf4Pt12	117.865	105.132	274.216	16.0469	19.7585	16	2
N4Ni8Ta16	127.775	112.971	291.288	14.1901	14.2963	28	3
C1Zr1	251.603	30.2085	84.7609	16.6791	5.13874	2	2
In3Zr1	180.169	51.6571	127.393	22.5539	8.01929	4	2
B2Ge6Ta10	144.234	108.268	274.437	15.7388	13.2858	18	3
Mg4Se8	134.968	28.8189	72.5924	23.0508	4.37573	12	2
Al1Ba1Si1	233.663	37.7146	90.0705	27.9231	3.81384	3	3
Li2Pd1Sb1	153.08	22.9576	61.8238	16.226	6.19227	4	3
Te2V2	164.42	33.0608	83.7704	24.5754	6.03195	4	2
La1Te1	180.964	34.8736	86.9002	31.1547	7.10234	2	2
Ru4Si4Ti4	221.889	93.0722	240.007	14.854	6.59773	12	3
