    0.2954510000E+03    0.8788512834E+00    0.1409483268E+01    0.7984678273E+00    0.1280565966E+01    0.5524743660E+00    0.8860468086E+00    0.1183173128E+01    0.5557873345E+00    0.7377407347E+00    0.7615030866E+00    0.1357238082E+01    0.1645948985E+02    0.8650036299E+01    0.8709913340E+01    0.1201305175E+02    0.6313277914E+01    0.1185170826E+02    0.6356979511E+01    0.4607781591E+01    0.4845079485E+00
    0.9386660000E+02    0.2762995614E+00    0.4526005257E+00    0.2504033007E+00    0.4101804034E+00    0.1692549049E+00    0.2772529155E+00    0.4400520143E+00    0.2658211888E+00    0.2686390573E+00    0.3693852093E+00    0.5421072273E+00    0.5149787067E+01    0.2699800269E+01    0.2459736127E+01    0.3705948387E+01    0.1942861000E+01    0.3751643320E+01    0.1770103310E+01    0.1398143747E+01    0.2157786204E+00
    0.1568600000E+03    0.4769193878E+00    0.7933673098E+00    0.4330450588E+00    0.7203812681E+00    0.2985996329E+00    0.4967279452E+00    0.6679989809E+00    0.3696167809E+00    0.4015563297E+00    0.5189249629E+00    0.7657059531E+00    0.8103616160E+01    0.4239871116E+01    0.4192721944E+01    0.5771995439E+01    0.3019950138E+01    0.5952584068E+01    0.2986367007E+01    0.2151032092E+01    0.3224522834E+00
    0.6508170000E+02    0.2043206957E+00    0.3230333553E+00    0.1885053790E+00    0.2980291589E+00    0.1120098815E+00    0.1770889029E+00    0.3480347570E+00    0.2204827830E+00    0.2201342447E+00    0.2992251007E+00    0.4039802987E+00    0.3649867316E+01    0.1920904187E+01    0.1969449794E+01    0.2689389698E+01    0.1415410338E+01    0.2606928038E+01    0.1451180969E+01    0.1042939278E+01    0.1899490447E+00
    0.3460530000E+03    0.1082227181E+01    0.1691934788E+01    0.9817924825E+00    0.1534916961E+01    0.6401569054E+00    0.1000809956E+01    0.1334716358E+01    0.6442989023E+00    0.8537364040E+00    0.8678889916E+00    0.1585116424E+01    0.1961442453E+02    0.1033344921E+02    0.1189656003E+02    0.1456125416E+02    0.7671292117E+01    0.1391945071E+02    0.8831706178E+01    0.5694973824E+01    0.5425193199E+00
    0.8378470000E+02    0.1669440042E+00    0.2719802375E+00    0.1533233101E+00    0.2497898052E+00    0.9284493766E-01    0.1512602283E+00    0.2528606932E+00    0.1838523199E+00    0.1552082497E+00    0.2545541193E+00    0.2844875061E+00    0.2508691325E+01    0.1316065124E+01    0.1360681958E+01    0.1811908294E+01    0.9505311753E+00    0.1822167917E+01    0.9827557902E+00    0.6865234087E+00    0.1634132398E+00
    0.1788870000E+03    0.5343451028E+00    0.8740601479E+00    0.4843001710E+00    0.7921986689E+00    0.3202870058E+00    0.5239125543E+00    0.7305239013E+00    0.3988976031E+00    0.4465961182E+00    0.5537848672E+00    0.8415049452E+00    0.9853395623E+01    0.5166590560E+01    0.5132176613E+01    0.7097514087E+01    0.3721554547E+01    0.7172717121E+01    0.3696765785E+01    0.2680678502E+01    0.3462893889E+00
    0.6725240000E+02    0.2004766639E+00    0.3268556642E+00    0.1820726443E+00    0.2968498872E+00    0.1174320579E+00    0.1914603552E+00    0.3417229757E+00    0.2299895437E+00    0.2095955177E+00    0.3185929911E+00    0.4722946125E+00    0.3801562896E+01    0.1994129541E+01    0.1956208878E+01    0.2744315601E+01    0.1439544987E+01    0.2762367736E+01    0.1412170386E+01    0.1039195161E+01    0.1664061143E+00
    0.8441470000E+02    0.2495141342E+00    0.4213975444E+00    0.2261188744E+00    0.3818859350E+00    0.1526792725E+00    0.2578558154E+00    0.3611286338E+00    0.2395801171E+00    0.2138282475E+00    0.3397676333E+00    0.4122730440E+00    0.4061540387E+01    0.2120480360E+01    0.1936673044E+01    0.2863911173E+01    0.1495212854E+01    0.3007221977E+01    0.1365604928E+01    0.1054318409E+01    0.2098590767E+00
    0.1485390000E+03    0.4384575009E+00    0.6958569264E+00    0.3974909211E+00    0.6308406405E+00    0.2702202051E+00    0.4288547943E+00    0.6644066696E+00    0.3568603164E+00    0.4186407821E+00    0.4855417245E+00    0.7965637843E+00    0.7523936970E+01    0.3958343267E+01    0.4089419141E+01    0.5529894533E+01    0.2909277534E+01    0.5385694984E+01    0.3005614832E+01    0.2138241986E+01    0.2976539719E+00
    0.1033130000E+03    0.3042656589E+00    0.4991697424E+00    0.2766297958E+00    0.4538311172E+00    0.1769001227E+00    0.2902174008E+00    0.5087664915E+00    0.2843787830E+00    0.3101152947E+00    0.3955736920E+00    0.6039591711E+00    0.5468307923E+01    0.2866244579E+01    0.3136232491E+01    0.3931178396E+01    0.2060549429E+01    0.3986974480E+01    0.2254644323E+01    0.1481333442E+01    0.2395565836E+00
    0.1965480000E+03    0.6042229222E+00    0.1001187986E+01    0.5573455843E+00    0.9235129665E+00    0.4004432663E+00    0.6635282653E+00    0.8098032274E+00    0.4366771089E+00    0.4887210785E+00    0.6114665651E+00    0.9387377453E+00    0.9638163567E+01    0.5045425138E+01    0.4900178353E+01    0.6883067108E+01    0.3603176017E+01    0.7064965659E+01    0.3499448439E+01    0.2573197908E+01    0.3767000251E+00
    0.2448930000E+03    0.7554780469E+00    0.1175544808E+01    0.6874173624E+00    0.1069640494E+01    0.4790493596E+00    0.7454140986E+00    0.1025047482E+01    0.5010755753E+00    0.6587591253E+00    0.6728446335E+00    0.1174041627E+01    0.1354593507E+02    0.7139220652E+01    0.6850190026E+01    0.1008782246E+02    0.5316664379E+01    0.9586550493E+01    0.5101419759E+01    0.3959384574E+01    0.4374855583E+00
    0.1375800000E+03    0.4495912106E+00    0.7349049800E+00    0.4102692623E+00    0.6706290445E+00    0.2887405079E+00    0.4719772811E+00    0.6340512917E+00    0.3545322120E+00    0.3878921705E+00    0.4919616911E+00    0.7277959983E+00    0.7307022954E+01    0.3831739946E+01    0.3657676952E+01    0.5265806379E+01    0.2761343542E+01    0.5317060622E+01    0.2635905039E+01    0.1989962332E+01    0.3088662311E+00
    0.1410980000E+03    0.4204917575E+00    0.6690096680E+00    0.3810127766E+00    0.6061979258E+00    0.2542277753E+00    0.4044807930E+00    0.6631637254E+00    0.3551734554E+00    0.4168174150E+00    0.4840502383E+00    0.8259424447E+00    0.7672662959E+01    0.4035589117E+01    0.4256088586E+01    0.5629841698E+01    0.2961126796E+01    0.5499926427E+01    0.3122919007E+01    0.2172736532E+01    0.2851750184E+00
    0.1011970000E+03    0.2519904333E+00    0.4032038385E+00    0.2288219297E+00    0.3661324725E+00    0.1477855229E+00    0.2364680647E+00    0.4101689614E+00    0.2518930497E+00    0.2563434284E+00    0.3445957531E+00    0.4944366895E+00    0.4288735130E+01    0.2254431485E+01    0.2301036381E+01    0.3134985156E+01    0.1647947245E+01    0.3084116520E+01    0.1682014552E+01    0.1204618610E+01    0.2089624673E+00
    0.1419830000E+03    0.4477621796E+00    0.7013400813E+00    0.4070265463E+00    0.6375349328E+00    0.2606038708E+00    0.4081897674E+00    0.6603818954E+00    0.3559075770E+00    0.4216129161E+00    0.4800186024E+00    0.7465746428E+00    0.8225541012E+01    0.4332747873E+01    0.4343079232E+01    0.6098789414E+01    0.3212495910E+01    0.5843650749E+01    0.3220156048E+01    0.2381890264E+01    0.3148177112E+00
    0.9329590000E+02    0.2829340323E+00    0.4558461130E+00    0.2584334445E+00    0.4163722552E+00    0.1606320800E+00    0.2588006422E+00    0.4645462611E+00    0.2683313350E+00    0.2883340301E+00    0.3687738375E+00    0.5346208636E+00    0.5390417409E+01    0.2831443946E+01    0.2817724835E+01    0.3922235671E+01    0.2060246842E+01    0.3891317610E+01    0.2050264390E+01    0.1499099799E+01    0.2331602205E+00
    0.1253230000E+03    0.3881935906E+00    0.6112879172E+00    0.3518951945E+00    0.5541288823E+00    0.2319446312E+00    0.3652428941E+00    0.5900199258E+00    0.3270947133E+00    0.3746875197E+00    0.4427295318E+00    0.6840810571E+00    0.7240491138E+01    0.3812055188E+01    0.3581029705E+01    0.5349375188E+01    0.2816399198E+01    0.5159696382E+01    0.2645714370E+01    0.2080794756E+01    0.2821191969E+00
    0.2135900000E+03    0.6080091987E+00    0.9728616260E+00    0.5572300813E+00    0.8916111205E+00    0.3962077313E+00    0.6339629376E+00    0.8693113363E+00    0.4365864075E+00    0.5432933882E+00    0.5972610031E+00    0.1037723568E+01    0.9778886547E+01    0.5140403256E+01    0.5445489830E+01    0.7148179648E+01    0.3757536787E+01    0.7032198787E+01    0.3980549256E+01    0.2746687760E+01    0.3657327682E+00
    0.1039430000E+03    0.2648021215E+00    0.4112935358E+00    0.2419556302E+00    0.3758081169E+00    0.1501167982E+00    0.2331630440E+00    0.3758320636E+00    0.2495961171E+00    0.2419710478E+00    0.3347532283E+00    0.4239673391E+00    0.4582182634E+01    0.2415339649E+01    0.2173856115E+01    0.3416531632E+01    0.1800906898E+01    0.3239404340E+01    0.1620853810E+01    0.1342778295E+01    0.2212581374E+00
