auid,formula,NE,NA,BGAP,EPA,ASPIN,ENPA,VPA,D,BM,SM,YM,ANI,PR,PUGR,IPUGR,DT_AGL,vs,vl,vm,DT_A_AGL,gruneisen,Cv_300,Cp_300,TEX_300,TC_300,VIB_EN_300,VIB_FE_300
aflow:070d1a4de1bb3fe4,Pt3V1,2,4,0,-4.78501,0.309261,-4.78501,15.0742,17.521,223.35,99.0821,258.954,0.223689,0.306765,0.443618,2.254191669,297.056,2378.04,3632.51,2605.62,187.098,2.56987,11.4477,11.7445,0.0000341,6.02183,0.35715,-25.9397
aflow:0748412c3a3db28b,Al1Ru1,2,2,0,-5.46966,0.0951561,-5.46966,13.4172,7.92395,201.778,96.6456,250.02,0.00942965,0.293486,0.478971,2.087809074,481.068,3492.37,5334.68,3826.6,381.77,2.04804,5.3012,5.39484,0.0000286,25.7684,0.239767,15.2029
aflow:074d62477ba333c6,Al1Cr1Cu2,3,4,0,-3.90252,1.01772,-3.90252,13.9299,6.14124,103.611,37.6162,100.666,5.1034,0.33807,0.363052,2.754426363,326.946,2474.91,3780.49,2711.77,205.997,2.18396,11.3447,11.8603,0.0000683,3.62766,0.335347,-18.6991
aflow:07506535ec5a26cd,Ge4La2Rh2,3,8,0,-5.28393,0,-5.28393,21.0348,7.6375,99.674,41.3717,109.03,0.230678,0.317689,0.41507,2.409232178,282.939,2327.43,3555.21,2550.17,141.5,2.20047,22.9918,23.6383,0.0000422,3.12372,0.368807,-29.762
aflow:075befb960a6d22f,As2Hg2K2,3,6,0,-2.37827,0,-2.37827,31.3785,5.54968,25.7402,14.6855,37.0168,1.48367,0.260318,0.570527,1.752765426,179.144,1626.71,2484.84,1782.39,98.5075,2.33893,17.7184,19.3069,0.00012334,1.04089,0.495574,-69.8948
aflow:076adc806cdc6385,Rh4Si4,2,8,0,-5.47906,0,-5.47906,12.9314,8.41039,225.769,84.3679,225.068,0.0470596,0.33385,0.373692,2.676000557,444.095,3167.24,4838.03,3470.35,222,2.29356,21.5941,22.0503,0.0000305,6.35458,0.25854,8.16668
aflow:078d522f37517545,Al14Th4,2,18,0,-4.67417,0,-4.67417,21.3328,5.64725,85.2668,51.403,128.406,0.0779057,0.249011,0.602849,1.658790178,356.015,3017.01,4608.55,3305.74,135.839,1.99122,50.4689,51.8293,0.0000446,3.38768,0.312461,-10.9464
aflow:07af92e96c815589,O3Rb1U1,3,5,2.9093,-7.75355,0.200065,-7.75355,17.0805,7.22327,131.728,69.0141,176.26,0.623848,0.276989,0.523914,1.908710208,391.977,3091.02,4721.61,3386.84,229.243,1.98516,13.8129,14.1076,0.0000355,10.1735,0.288304,-2.55344
aflow:07b0e30c2a75ec20,Na2Pt4,2,6,0,-3.22947,0,-3.22947,17.8885,12.7845,122.511,66.3239,168.555,0.308162,0.270694,0.541371,1.847162112,280.014,2277.69,3479.22,2495.67,154.09,2.49082,17.2687,17.9287,0.0000504,3.77908,0.373061,-31.1493
aflow:07ca124e3b54ff2e,La1Pt5,2,6,0,-4.49046,0,-4.49046,18.7486,16.4495,176.72,67.7037,180.11,0.174718,0.330136,0.383113,2.610195947,249.924,2028.75,3098.97,2222.91,137.58,2.46847,17.4053,17.8206,0.0000319,3.7594,0.399512,-39.6947
aflow:07e45d1c86f565ff,Dy2Tl2Zn2,3,6,0,-2.76086,0,-2.76086,23.1592,10.3309,62.9937,44.031,107.132,0.213784,0.216553,0.698974,1.43066838,234.093,2064.47,3153.54,2262.05,128.775,2.28544,17.4937,18.3747,0.0000716,3.03407,0.42016,-46.2817
aflow:07eac22977da80fe,Rh4Sb8,2,12,0,-4.55605,0,-4.55605,22.385,8.56556,102.199,55.7394,141.494,1.01725,0.26925,0.545401,1.833513323,302.028,2550.96,3896.65,2795.09,131.911,2.35384,34.2956,35.3161,0.0000417,3.04865,0.353535,-24.748
aflow:07eae5aae7ba2e7d,Mn4Te8Zn2,3,14,0,-4.24767,1.14741,-4.24767,28.7276,5.66185,42.1944,7.54221,21.3543,0.278643,0.415651,0.178749,5.594436892,126.006,1154.17,1763.02,1264.63,52.2791,2.10479,41.6605,43.7951,0.0000794,0.234734,0.580725,-96.033
aflow:07f268d309e600b2,Hg1Li1,2,2,0,-1.47764,0,-1.47764,18.6693,9.22941,32.5667,15.9154,41.0578,0.130237,0.289878,0.488702,2.046236766,157.201,1313.17,2005.9,1438.85,124.611,2.36595,5.93402,6.88486,0.00021634,1.19085,0.540998,-83.8869
aflow:07f9a4be9a1a40d2,Li2Ru2Sn8,3,12,0,-3.95288,0,-3.95288,21.8683,7.37533,65.9758,41.974,103.89,0.2086,0.237555,0.636203,1.571825345,295.085,2385.61,3644.08,2613.92,128.853,2.37293,34.3991,35.9704,0.0000631,2.32989,0.361529,-27.3794
aflow:0803dfd1d836fe54,Cd4Dy16Rh4,3,24,0,-4.29235,0,-4.29235,26.0114,9.20681,60.9056,29.6775,76.5921,0.00197324,0.290408,0.48727,2.052250292,203.048,1795.39,2742.5,1967.21,70.3762,1.85477,70.4264,72.3286,0.000048,1.28642,0.452548,-56.4962
aflow:08167170b6a59946,Al1Au2,2,3,0,-2.37135,0,-2.37135,16.6083,14.028,124.199,23.4401,66.1582,1.27052,0.41122,0.188729,5.298602758,164.992,1292.65,1974.56,1416.36,114.405,2.78459,8.87558,9.40094,0.0000681,0.961978,0.511495,-74.8142
aflow:082258cc457161b7,Li40Pb12,2,52,0,-2.54646,0,-2.54646,19.9199,4.43102,21.5111,17.0055,40.3767,0.0242488,0.187164,0.790546,1.264948529,236.923,1959.04,2992.48,2146.53,63.4961,1.8587,151.821,169.674,0.000202203,0.411493,0.426409,-48.263
aflow:08394c3822dd81e4,Ru8Sn12,2,20,0,-4.81315,0,-4.81315,19.3824,9.56463,128.441,60.6954,157.307,0.323322,0.295875,0.472556,2.116151313,313.921,2519.09,3847.98,2760.18,115.679,2.37525,56.9078,58.4575,0.0000379,2.20135,0.342726,-21.1639
aflow:08476bef4ba9f704,Ba1O3Ti1,3,5,2.1335,-7.45659,0,-7.45659,13.3816,5.78831,160.017,106.57,261.629,0.0708864,0.227498,0.665992,1.501519538,578.888,4290.83,6554.35,4701.48,338.601,2.1084,12.5587,12.846,0.0000361,16.6821,0.198275,31.7989
aflow:084c8813318ed050,Dy2In2Zn2,3,6,0,-2.95398,0,-2.95398,22.7125,8.35174,64.9651,43.4144,106.516,0.450944,0.226735,0.668273,1.496394438,260.979,2279.97,3482.71,2498.17,143.634,2.09276,17.3665,18.0555,0.0000621,4.01433,0.391422,-37.0948
aflow:0860600e60bf426b,As16Mg24,2,40,1.4442,-3.44932,0,-3.44932,24.1965,3.05745,49.3,26.635,67.7111,0.279802,0.271092,0.540264,1.850946944,331.993,2951.53,4508.53,3234,97.0774,1.91353,113.221,117.691,0.0000678,1.12848,0.331048,-17.2557
aflow:0869312088931792,Ba1Ge3Pt1,3,5,0,-4.44522,0,-4.44522,22.1113,8.26376,75.1723,39.5018,100.842,0.0291549,0.276421,0.525483,1.903011135,255.086,2186.35,3339.71,2395.59,149.125,2.35583,14.4975,15.136,0.0000614,3.12221,0.39775,-39.1292
aflow:086e1681681e97fe,Ga2Y2,2,4,0,-5.09209,0,-5.09209,24.1742,5.44865,66.3681,43.7683,107.642,0.494008,0.229684,0.659477,1.51635311,321.971,2834.23,4329.36,3105.48,202.847,1.93168,11.3525,11.6788,0.000049,8.33868,0.336871,-19.2095
