materials    Cp_300  NA  PR  PUGR  SM  VPA
Ir4Zr12	47.7126	16	0.419016	0.171211	22.1429	20.7578
Dy2S4	17.4299	6	0.285243	0.501284	46.7831	19.7673
Li3Sb1	12.2269	4	0.186567	0.792452	26.0453	17.6357
Ba2Be4N4	26.633	10	0.239596	0.630216	61.9904	13.707
Au2Nb1	8.95419	3	0.341335	0.354868	59.4529	17.5734
Dy2Pd2Sb2	18.0757	6	0.337375	0.364801	32.834	22.7714
Cd2Cu2F8	35.4375	12	0.331588	0.379424	33.836	12.6938
Hf2Si4	16.5071	6	0.210283	0.718138	93.691	16.3995
Pt1Sb1Tb1	8.97759	3	0.297769	0.467488	46.78	24.0282
F3Na1V1	14.8009	5	0.332561	0.376956	25.5723	14.3955
C4Os8Zr16	79.5689	28	0.312481	0.42862	79.4066	17.4917
La4Sb2	18.0453	6	0.263794	0.560706	29.3254	33.7543
B4Nb6	24.2652	10	0.208687	0.723047	168.68	12.9772
Hf4P4	22.6751	8	0.261897	0.56606	82.0453	18.0635
Ag2In1Y1	12.4601	4	0.377565	0.266633	19.4227	21.4201
Ge4Ir4Mn12	58.817	20	0.312061	0.429719	47.4245	16.1937
P1Sn1	5.95802	2	0.274681	0.530294	38.5553	22.611
Er3Pd3Sn3	27.1662	9	0.330367	0.382526	37.3091	21.8684
B2Mg16Rh8	75.7622	26	0.333632	0.374244	29.0538	17.4032
P4	2.5876	4	0.206588	0.729524	82.5862	14.6068
Fe4Si4Ta4	33.6724	12	0.272842	0.535396	89.7236	14.7706
O3Re1	10.2703	4	0.273905	0.532446	122.915	13.7296
C1Ce1	5.55038	2	0.264698	0.558162	72.8587	17.4773
Hf3Rh3Sn3	26.6263	9	0.353011	0.325915	49.8145	19.0663
B1In1Sc3	13.9339	5	0.210017	0.718956	54.5727	21.55
S12Y8	56.7773	20	0.276625	0.524921	40.8741	21.7724
Ga4Ir4Y4	35.957	12	0.391561	0.233778	29.9397	19.0223
Ir1N1	5.97993	2	0.446302	0.111383	28.2691	12.3295
Co4Sn4Tb4	35.7896	12	0.247776	0.606418	44.4214	22.796
In1P1Pt5	20.8276	7	0.365111	0.296436	60.2943	15.8546
