    0.1688300000E+02    0.1146892971E+02    0.1571396977E+02    0.2949931681E+02    0.3810986414E+02    0.6111980134E+02    0.1560594275E+02    0.2376254034E+02    0.4041801496E+02    0.9802265635E+02    0.2138223172E+02    0.1140959711E+02    0.4689802851E+02    0.3233404105E+02    0.3422879134E+02    0.1563267617E+02    0.8804012102E+02    0.2967017234E+02    0.8606159008E+01    0.2982271379E+01    0.1971486241E+02
    0.1337080000E+01    0.9440265618E+00    0.1311819613E+01    0.2533109311E+01    0.2936383923E+01    0.4810029016E+01    0.1439849952E+01    0.1792577657E+01    0.3520009511E+01    0.7879207807E+01    0.2000815955E+01    0.9660082203E+00    0.6327970865E+01    0.2734078635E+01    0.4553806422E+01    0.1342365333E+01    0.1221924246E+02    0.3728204196E+01    0.1362748199E+01    0.4034784917E+00    0.3075623096E+01
    0.2437470000E+01    0.2325221754E+01    0.3264504412E+01    0.6434621788E+01    0.6838867614E+01    0.1137662704E+02    0.3301215332E+01    0.4111070011E+01    0.9033913082E+01    0.1892530314E+02    0.4634754514E+01    0.2087255238E+01    0.1025643629E+02    0.5836659378E+01    0.7305393332E+01    0.2930410367E+01    0.2021632691E+02    0.8192633248E+01    0.2096454060E+01    0.7722089010E+00    0.4611589359E+01
    0.3691200000E+00    0.3518243522E+00    0.4774734599E+00    0.8794191454E+00    0.8532877868E+00    0.1349057744E+01    0.4657040617E+00    0.5397100682E+00    0.1193491296E+01    0.2132875714E+01    0.6320237022E+00    0.3663519336E+00    0.2009366885E+01    0.7144052687E+00    0.1480593712E+01    0.4971893622E+00    0.3700887813E+01    0.1793649275E+01    0.7026548304E+00    0.1630041258E+00    0.1613272319E+01
    0.1475720000E+02    0.1082869711E+02    0.1458656376E+02    0.2646711299E+02    0.3117099587E+02    0.4873218230E+02    0.1267000841E+02    0.1993817920E+02    0.3565195583E+02    0.7618702981E+02    0.1706686258E+02    0.1065329929E+02    0.4058877181E+02    0.2332846654E+02    0.3013208069E+02    0.1435029789E+02    0.7364775059E+02    0.3497485967E+02    0.9154952991E+01    0.2905951197E+01    0.2099466370E+02
    0.5620130000E+00    0.1761114014E+00    0.2438363722E+00    0.4674342366E+00    0.3649331587E+00    0.5945383163E+00    0.2358409645E+00    0.2239993734E+00    0.6471896058E+00    0.9686042530E+00    0.3265353902E+00    0.1906091855E+00    0.7917281662E+00    0.2999705177E+00    0.5718275566E+00    0.2639093887E+00    0.1517742606E+01    0.1182495979E+01    0.3460887537E+00    0.9749052542E-01    0.7854620042E+00
    0.6136450000E+01    0.4297550628E+01    0.5966239169E+01    0.1149899734E+02    0.1267063433E+02    0.2072611214E+02    0.6006245944E+01    0.7746024596E+01    0.1596392324E+02    0.3390293753E+02    0.8338400850E+01    0.4234892340E+01    0.1697193690E+02    0.1082582449E+02    0.1222508116E+02    0.5879251402E+01    0.3271076665E+02    0.1444247362E+02    0.3753678076E+01    0.1475344617E+01    0.8485265719E+01
    0.6896310000E+00    0.3705234420E+00    0.5132675589E+00    0.9849179830E+00    0.1074451600E+01    0.1751777910E+01    0.5232171334E+00    0.6590140420E+00    0.1364357532E+01    0.2856085697E+01    0.7247864788E+00    0.3642399676E+00    0.3430474413E+01    0.9305954734E+00    0.2476430012E+01    0.5045633767E+00    0.6582796595E+01    0.1914129738E+01    0.8047231202E+00    0.2591312411E+00    0.1825101036E+01
    0.6380060000E+00    0.6434466939E+00    0.9125229715E+00    0.1835296645E+01    0.1719316851E+01    0.2903706844E+01    0.9991294324E+00    0.1018026472E+01    0.2602780252E+01    0.4903990459E+01    0.1416944973E+01    0.5979752352E+00    0.2968126968E+01    0.1580768416E+01    0.2092913323E+01    0.8480362767E+00    0.5969595984E+01    0.3133427155E+01    0.6979256690E+00    0.2655730372E+00    0.1459566010E+01
    0.3496290000E+01    0.2035897419E+01    0.2770028210E+01    0.5127914701E+01    0.5984919608E+01    0.9498406927E+01    0.2681242039E+01    0.3771081087E+01    0.6977005939E+01    0.1507451061E+02    0.3648079720E+01    0.1901385676E+01    0.1175393871E+02    0.4966449217E+01    0.8638833851E+01    0.2587012446E+01    0.2175905461E+02    0.7745512262E+01    0.2754543754E+01    0.9526807144E+00    0.6323416203E+01
