    0.1084130000E+02    0.2998173751E+01    0.8183173883E+01    0.4715656515E+01    0.7728135273E+01    0.8638212492E+01    0.9527039654E+01    0.8977091000E+01    0.7864477657E+01    0.3892728135E+01    0.6869540967E+01    0.7389256765E+01    0.2568358898E+01    0.8470207615E+01    0.4039625245E+01    0.3334670961E+01    0.4192549961E+01    0.3400258296E+01    0.9075937572E+01    0.9747120719E+01    0.8161253850E+01    0.9502087316E-03    0.9052166719E-03    0.8448023233E-03    0.7843879748E-03    0.7393959151E-03    0.4502480488E-03    0.2087734438E+01   -0.1871554230E-04    0.3251990142E-02    0.4224011617E-03    0.4216256331E-03    0.4931709337E-04    0.4698194580E-04    0.4384636098E-04    0.4071077617E-04    0.4366446563E-07    0.1285930738E-03    0.1692712467E-02   -0.1298592629E-06    0.3837562860E-04
    0.5386110000E+02    0.1430433675E+02    0.3942320852E+02    0.2094595206E+02    0.3886547668E+02    0.3998094036E+02    0.4216476804E+02    0.4000120555E+02    0.4056648712E+02    0.2015198313E+02    0.3336885577E+02    0.3884521149E+02    0.1214846523E+02    0.4135136825E+02    0.1778909254E+02    0.1711478628E+02    0.2054188407E+02    0.1657645674E+02    0.4213624938E+02    0.4965734146E+02    0.3580992445E+02    0.9824811296E-03    0.9818166164E-03    0.9635281036E-03    0.9452395908E-03    0.9445750776E-03    0.2171251437E-03    0.4049145898E+01   -0.1371704074E-05    0.9754068027E-01    0.2271057520E-03    0.3411544686E-03    0.3989286219E-04    0.3986588016E-04    0.3912328969E-04    0.3838069922E-04    0.1086360508E-07    0.1248492079E-03    0.2721308064E-02   -0.1058633275E-07    0.3835371719E-04
    0.1201230000E+02    0.3154347361E+01    0.8839821925E+01    0.4935016733E+01    0.8227053229E+01    0.9452590621E+01    0.9967683928E+01    0.9242720277E+01    0.8477051337E+01    0.4197002082E+01    0.7601964258E+01    0.8436923572E+01    0.2698511546E+01    0.9376374585E+01    0.4221855779E+01    0.3590491877E+01    0.4642258504E+01    0.3763745028E+01    0.1027569783E+02    0.1039733797E+02    0.8527250518E+01    0.4809261620E-04    0.4957873822E-04    0.4523963516E-04    0.4090053210E-04    0.4238665412E-04    0.3449452584E-05    0.1026771030E+01    0.8021943454E-06    0.3082673829E-01    0.2261981758E-04    0.1141192417E-04    0.1637130590E-05    0.1687719974E-05    0.1540011679E-05    0.1392303384E-05    0.1091923736E-09    0.5421189871E-05    0.1793408859E-03    0.8743269400E-08    0.1442892767E-05
    0.4144130000E+02    0.9969073601E+01    0.2735752122E+02    0.1447579533E+02    0.2690185877E+02    0.2781318367E+02    0.2950748217E+02    0.2845306511E+02    0.2751609811E+02    0.1349886114E+02    0.2036610511E+02    0.2626197734E+02    0.8158984888E+01    0.2810106151E+02    0.1184741934E+02    0.1104786748E+02    0.1378583278E+02    0.9991214010E+01    0.2868602492E+02    0.3633375630E+02    0.2414979674E+02    0.5621173092E-01    0.5464685547E-01    0.5353250064E-01    0.5241814580E-01    0.5085327036E-01    0.8615106960E-01    0.4639014237E+01   -0.4199094773E-02   -0.6385757238E+00    0.1545350183E-01    0.3215076336E-01    0.7549103372E-02    0.7338944278E-02    0.7189289042E-02    0.7039633805E-02    0.3887210722E-04    0.1423094331E-01    0.8913407722E-01   -0.3157298781E-04    0.6829474711E-02
    0.5609700000E+01    0.1485486278E+01    0.4132022726E+01    0.2746001448E+01    0.3756576867E+01    0.4507468585E+01    0.5662111424E+01    0.5285387373E+01    0.3753123945E+01    0.1820183853E+01    0.3345435909E+01    0.2978658079E+01    0.1246975660E+01    0.4221933808E+01    0.2305101717E+01    0.1527933981E+01    0.2047546486E+01    0.1622463982E+01    0.4690743671E+01    0.4884366920E+01    0.4752999230E+01    0.9115541776E-02    0.7551718199E-02    0.6796972209E-02    0.6042226220E-02    0.4478402643E-02    0.8521053423E-02    0.3658880444E+01   -0.3815543851E-03   -0.7347982922E-01    0.4806185141E-02    0.4637139132E-02    0.7586750732E-03    0.6285200045E-03    0.5657034454E-03    0.5028868862E-03    0.2974742888E-05    0.1261045615E-02    0.9962787378E-02   -0.2618403453E-05    0.3727318175E-03
    0.1328970000E+02    0.3477742645E+01    0.9544970735E+01    0.5439856152E+01    0.8956822901E+01    0.1013311857E+02    0.1095010627E+02    0.1024778488E+02    0.9159628209E+01    0.4550372264E+01    0.7393567741E+01    0.8842156594E+01    0.2859959667E+01    0.9975349985E+01    0.4473525151E+01    0.3742048355E+01    0.4955611173E+01    0.3673018687E+01    0.1079107176E+02    0.1201047782E+02    0.9004939550E+01    0.3105459855E-02    0.3060357526E-02    0.2829018107E-02    0.2597678687E-02    0.2552576359E-02    0.2223845162E-02    0.5766437930E+00   -0.1044038734E-03    0.3922447464E+00    0.1414509053E-02    0.1105766991E-02    0.7024436175E-03    0.6922416365E-03    0.6399135091E-03    0.5875853818E-03    0.9280185662E-06    0.1301867130E-02    0.7237820907E-02   -0.1501284631E-05    0.5773834007E-03
    0.8881980000E+01    0.2432433563E+01    0.6695959448E+01    0.3908374760E+01    0.6132305096E+01    0.7259613800E+01    0.7867099542E+01    0.7302555001E+01    0.6226482658E+01    0.3093316353E+01    0.5607368911E+01    0.6089363895E+01    0.2050911007E+01    0.7016690667E+01    0.3295353648E+01    0.2608135594E+01    0.3485891662E+01    0.2785740667E+01    0.7806898675E+01    0.7920726379E+01    0.6633160013E+01    0.3017111869E-03    0.2994024231E-03    0.2690971505E-03    0.2387918779E-03    0.2364831140E-03    0.7078640239E-04    0.6015254556E+00   -0.8885714230E-06    0.2486827618E-01    0.1553633123E-03    0.9784210934E-04    0.1407342148E-04    0.1396572840E-04    0.1255212860E-04    0.1113852879E-04    0.4602117047E-08    0.3752035130E-04    0.7401033859E-03   -0.7037584910E-08    0.1103083572E-04
    0.1204560000E+03    0.3305151222E+02    0.9075931514E+02    0.4760033984E+02    0.9019750377E+02    0.9132112651E+02    0.9581359483E+02    0.9141790264E+02    0.9411760464E+02    0.4675776933E+02    0.7463140294E+02    0.9010072764E+02    0.2765448763E+02    0.9489835476E+02    0.3982761818E+02    0.3912263211E+02    0.4714564718E+02    0.3707699464E+02    0.9567910488E+02    0.1178509523E+03    0.8016806779E+02    0.5628427782E-02    0.5620527369E-02    0.5574663359E-02    0.5528799349E-02    0.5520898936E-02    0.1948002004E-02    0.5553314495E+01   -0.4196220561E-04    0.3902820882E+00    0.8814316702E-03    0.2150576907E-02    0.2883181319E-03    0.2879134306E-03    0.2855640311E-03    0.2832146315E-03    0.1427123611E-06    0.8177382580E-03    0.1445048139E-01   -0.3012717713E-06    0.2828099302E-03
    0.1242330000E+02    0.3253900855E+01    0.9322649448E+01    0.5110260205E+01    0.8626224203E+01    0.1001907469E+02    0.1039911768E+02    0.9576536355E+01    0.8943861097E+01    0.4395128398E+01    0.8074952678E+01    0.9068762541E+01    0.2762480956E+01    0.1001032902E+02    0.4338483907E+01    0.3731354776E+01    0.4919204454E+01    0.3968135623E+01    0.1107679694E+02    0.1102753073E+02    0.8828592459E+01    0.4780133137E-05    0.5091640051E-05    0.4601419746E-05    0.4111199441E-05    0.4422706354E-05    0.1091334739E-06    0.5255851627E+00    0.2451482261E-06    0.5839774327E-01    0.2300709873E-05    0.7148535646E-06    0.1461054114E-06    0.1556266621E-06    0.1406430126E-06    0.1256593631E-06    0.1369507074E-11    0.5645495173E-06    0.2961874253E-04    0.3249367572E-08    0.1351806138E-06
    0.4041490000E+02    0.1045213579E+02    0.2860839398E+02    0.1508024203E+02    0.2818753060E+02    0.2902925737E+02    0.3064858938E+02    0.2953845799E+02    0.2889762219E+02    0.1421870127E+02    0.2380223192E+02    0.2767832998E+02    0.8894778718E+01    0.2944311264E+02    0.1283330207E+02    0.1210012996E+02    0.1448710279E+02    0.1171158038E+02    0.2998860308E+02    0.3590557393E+02    0.2608198229E+02    0.1672291382E-01    0.1636280283E-01    0.1606516467E-01    0.1576752651E-01    0.1540741552E-01    0.1095938270E-01    0.1853000436E+02   -0.6070666348E-03   -0.6532839482E-01    0.4293595862E-02    0.9208488130E-02    0.1154215896E-02    0.1129361027E-02    0.1108818035E-02    0.1088275042E-02    0.2800125920E-05    0.2712805671E-02    0.2802734958E-01   -0.5234175948E-05    0.1063420173E-02
