MP_ID,MP_formula,MP_species,MP_NE,AFLOW_ID,AFLOW_formula,AFLOW_species,AFLOW_NE
mp-978987,SrGe3Pd,"['Ge', 'Pd', 'Sr']",3,aflow:74cfc4a2106e68da,Ge3Pd1Sr1,"['Ge', 'Pd', 'Sr']",3
mp-8311,Si3NiP4,"['Ni', 'P', 'Si']",3,aflow:57eda7013d19d919,Ni1P4Si3,"['Ni', 'P', 'Si']",3
mp-5782,AlAgS2,"['Ag', 'Al', 'S']",3,aflow:e81fdf58728bbeef,Ag1Al1S2,"['Ag', 'Al', 'S']",3
mp-20034,CaPb,"['Ca', 'Pb']",2,aflow:92d8c47bba9fe7a3,Ca1Pb1,"['Ca', 'Pb']",2
mp-1025311,CdAsPt5,"['As', 'Cd', 'Pt']",3,aflow:09ce06dcdb3ef9e0,As1Cd1Pt5,"['As', 'Cd', 'Pt']",3
mp-1025187,CdPPt5,"['Cd', 'P', 'Pt']",3,aflow:c07cb317ee589630,Cd1P1Pt5,"['Cd', 'P', 'Pt']",3
mp-505517,BaNb4O6,"['Ba', 'Nb', 'O']",3,aflow:dfd1cf4ad506de91,Ba1Nb4O6,"['Ba', 'Nb', 'O']",3
mp-11359,Ga2Cu,"['Cu', 'Ga']",2,aflow:9c568924a7b67651,Cu1Ga2,"['Cu', 'Ga']",2
mp-644280,GaCuPt2,"['Cu', 'Ga', 'Pt']",3,aflow:be4da014690a3d11,Cu1Ga1Pt2,"['Cu', 'Ga', 'Pt']",3
mp-1025270,GaPPt5,"['Ga', 'P', 'Pt']",3,aflow:25528b361849601b,Ga1P1Pt5,"['Ga', 'P', 'Pt']",3
mp-1025302,HgPPd5,"['Hg', 'P', 'Pd']",3,aflow:d047bbe542b179c3,Hg1P1Pd5,"['Hg', 'P', 'Pd']",3
mp-1025212,InAsPt5,"['As', 'In', 'Pt']",3,aflow:9a904c0549818196,As1In1Pt5,"['As', 'In', 'Pt']",3
mp-1025161,InPPd5,"['In', 'P', 'Pd']",3,aflow:2a1ee1e12784c93d,In1P1Pd5,"['In', 'P', 'Pd']",3
mp-1025213,InPPt5,"['In', 'P', 'Pt']",3,aflow:0558951a7db02a0b,In1P1Pt5,"['In', 'P', 'Pt']",3
mp-1025370,InSiPt5,"['In', 'Pt', 'Si']",3,aflow:8bc3f85e7c49bcd2,In1Pt5Si1,"['In', 'Pt', 'Si']",3
mp-865146,MgAsPt5,"['As', 'Mg', 'Pt']",3,aflow:1cf082788321992c,As1Mg1Pt5,"['As', 'Mg', 'Pt']",3
mp-1025261,MgPPd5,"['Mg', 'P', 'Pd']",3,aflow:3301d0c6f9cfb671,Mg1P1Pd5,"['Mg', 'P', 'Pd']",3
mp-15780,MgPPt5,"['Mg', 'P', 'Pt']",3,aflow:633c61cbece8044f,Mg1P1Pt5,"['Mg', 'P', 'Pt']",3
mp-22924,NaBi,"['Bi', 'Na']",2,aflow:d3618ed7c3ce4ee7,Bi1Na1,"['Bi', 'Na']",2
mp-945,NiPt,"['Ni', 'Pt']",2,aflow:660d210acd5499cc,Ni1Pt1,"['Ni', 'Pt']",2
mp-29889,Tl2PdCl4,"['Cl', 'Pd', 'Tl']",3,aflow:84d743b78ac98ce6,Cl4Pd1Tl2,"['Cl', 'Pd', 'Tl']",3
mp-11873,TlAsPd5,"['As', 'Pd', 'Tl']",3,aflow:cb4224749669c8a3,As1Pd5Tl1,"['As', 'Pd', 'Tl']",3
mp-1025348,TlPPd5,"['P', 'Pd', 'Tl']",3,aflow:93eea2d34ba1512c,P1Pd5Tl1,"['P', 'Pd', 'Tl']",3
mp-1025356,ZnAsPt5,"['As', 'Pt', 'Zn']",3,aflow:5db348e13594ac27,As1Pt5Zn1,"['As', 'Pt', 'Zn']",3
mp-429,ZnNi,"['Ni', 'Zn']",2,aflow:48827b3227344479,Ni1Zn1,"['Ni', 'Zn']",2
mp-429,ZnNi,"['Ni', 'Zn']",2,aflow:c294c347661840e9,Ni1Zn1,"['Ni', 'Zn']",2
mp-1025272,ZnPPt5,"['P', 'Pt', 'Zn']",3,aflow:9ab0972f231a4427,P1Pt5Zn1,"['P', 'Pt', 'Zn']",3
mp-1696,CdPd,"['Cd', 'Pd']",2,aflow:108d4b907ff03a21,Cd1Pd1,"['Cd', 'Pd']",2
mp-1194,CdPt,"['Cd', 'Pt']",2,aflow:685ad71b4f7bc14f,Cd1Pt1,"['Cd', 'Pt']",2
mp-11870,Hg2Rh,"['Hg', 'Rh']",2,aflow:734548737c6aa01c,Hg2Rh1,"['Hg', 'Rh']",2
mp-2685,HgPd,"['Hg', 'Pd']",2,aflow:80c1aa22035c5210,Hg1Pd1,"['Hg', 'Pd']",2
mp-1670,MnPt,"['Mn', 'Pt']",2,aflow:2853d0b5425aef23,Mn1Pt1,"['Mn', 'Pt']",2
mp-1359,NbIr,"['Ir', 'Nb']",2,aflow:d11e5747fb179dd4,Ir1Nb1,"['Ir', 'Nb']",2
mp-1963,NbRh,"['Nb', 'Rh']",2,aflow:6672c8d58bf571b2,Nb1Rh1,"['Nb', 'Rh']",2
mp-1953,TiAl,"['Al', 'Ti']",2,aflow:24f9d0cd72c1f0e5,Al1Ti1,"['Al', 'Ti']",2
mp-1235,TiIr,"['Ir', 'Ti']",2,aflow:2de2986ed2aaa8f8,Ir1Ti1,"['Ir', 'Ti']",2
mp-30493,ZnCdPt2,"['Cd', 'Pt', 'Zn']",3,aflow:d43fa03e0143372f,Cd1Pt2Zn1,"['Cd', 'Pt', 'Zn']",3
mp-1652,ZnPd,"['Pd', 'Zn']",2,aflow:f4d5b4f82bfad53e,Pd1Zn1,"['Pd', 'Zn']",2
mp-894,ZnPt,"['Pt', 'Zn']",2,aflow:5d94f15ba424becd,Pt1Zn1,"['Pt', 'Zn']",2
mp-607111,AlPt3,"['Al', 'Pt']",2,aflow:03988d8bec1cfd41,Al1Pt3,"['Al', 'Pt']",2
mp-21471,LiFeAs,"['As', 'Fe', 'Li']",3,aflow:b225877890e7d442,As1Fe1Li1,"['As', 'Fe', 'Li']",3
mp-7859,ZrS,"['S', 'Zr']",2,aflow:4d515949b53a184b,S1Zr1,"['S', 'Zr']",2
mp-20725,PbO2,"['O', 'Pb']",2,aflow:ae06258781b58bdb,O2Pb1,"['O', 'Pb']",2
mp-856,SnO2,"['O', 'Sn']",2,aflow:c036327f66d3519f,O2Sn1,"['O', 'Sn']",2
