compound,auid,aurl,Pearson_symbol_orig,point_group_Schoenflies_orig,point_group_structure_orig,point_group_type_orig,spacegroup_orig,spacegroup_relax,Pearson_symbol_relax,crystal_family,nspecies,species,natoms,density,volume_atom,volume_cell,bader_net_charges,bader_atomic_volumes,spin_atom,nbondxx,Egap,energy_atom,energy_cell,enthalpy_atom,enthalpy_cell,enthalpy_formation_cell,entropic_temperature,ael_bulk_modulus_reuss,ael_bulk_modulus_voigt,ael_bulk_modulus_vrh,ael_debye_temperature,ael_elastic_anisotropy,ael_poisson_ratio,ael_pughs_modulus_ratio,ael_shear_modulus_reuss,ael_shear_modulus_voigt,ael_shear_modulus_vrh,ael_speed_sound_average,ael_speed_sound_longitudinal,ael_speed_sound_transverse,ael_stiffness_tensor,ael_youngs_modulus_vrh,agl_acoustic_debye,agl_debye,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_gruneisen,agl_vibrational_entropy_300K_atom,agl_vibrational_entropy_300K_cell,agl_vibrational_free_energy_300K_atom,agl_vibrational_free_energy_300K_cell,
Rh2Si2Th1,aflow:2459e0783fe438d1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Rh2Si2Th1_ICSD_650332,tI10,D_4h,2_x_dihedral,centrosymmetric,139,139,tI10,tetragonal,3,"['Rh', 'Si', 'Th']",5,9.35088,17.5457,87.7287,"[-0.8778, -0.8808, -0.0365, 0.0672, 1.728]","[18.19, 18.2, 14.94, 14.47, 21.94]",0,"[2.91551, 2.44001, 3.30265, 2.54999, 3.18211, 4.12315]",0,-6.07275,-30.3637,-6.07275,-30.3637,,,165.071,165.683,165.377,400.116,0.212083,0.258963,0.57437,93.0488,96.9267,94.9877,3492.21,4868.51,3187.19,"[[274.367, 119.2, 116.25, 0, 0, 0], [119.317, 274.383, 116.25, 0, 0, 0], [111.733, 111.733, 248.033, 0, 0, 0], [0, 0, 0, 107.033, 0, 0], [0, 0, 0, 0, 107.033, 0], [0, 0, 0, 0, 0, 120.7]]",239.172,238.015,407.101,13.98,13.7216,12.4583,0.0000286,2.18109,0.278958,1.39479,0.76248,3.8124,
Pd3Pu1,aflow:247524b558c5831b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pd3Pu1_ICSD_105659,cP4,O_h,2_x_symmetric,centrosymmetric,221,221,cP4,cubic,2,"['Pd', 'Pu']",4,13.6307,17.1546,68.6185,"[-0.4856, -0.3396, -0.4218, 1.247]","[17.14, 16.35, 16.81, 18.33]",0,"[2.89489, 2.89489, 4.09399]",0,-5.53609,-22.1444,-5.53609,-22.1444,,,172.028,172.028,172.028,234.8,0.124128,0.374868,0.273042,46.3949,47.5467,46.9708,2033.99,2835.59,1856.33,"[[223.717, 146.183, 146.183, 0, 0, 0], [146.183, 223.717, 146.183, 0, 0, 0], [146.183, 146.183, 223.717, 0, 0, 0], [0, 0, 0, 53.4, 0, 0], [0, 0, 0, 0, 53.4, 0], [0, 0, 0, 0, 0, 53.4]]",129.157,137.331,217.995,12.0954,11.7005,2.3161,0.0000442,2.51187,0.435506,1.74202,-51.1378,-204.551,
Al8C4Nb12,aflow:247ccfa8b8fb98dd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al0.4C0.2Nb0.6_ICSD_606235,cP24,O,symmetric,enantiomorphic,213,213,cP24,cubic,3,"['Al', 'C', 'Nb']",24,6.30126,15.1392,363.341,"[-0.1497, -0.1475, -0.1508, -0.1464, -0.1464, -0.1508, -0.1497, -0.1475, -1.8414, -1.8414, -1.8414, -1.8414, 0.7148, 0.709, 0.7148, 0.709, 0.7148, 0.7148, 0.709, 0.7148, 0.7148, 0.7148, 0.7148, 0.709]","[15.54, 15.53, 15.54, 15.52, 15.52, 15.54, 15.54, 15.53, 11.58, 11.58, 11.58, 11.58, 16.05, 16.08, 16.05, 16.08, 16.05, 16.05, 16.08, 16.05, 16.05, 16.05, 16.05, 16.08]",0,"[2.6408, 3.49176, 2.93803, 4.36972, 2.23073, 2.96438]",0,-7.49625,-179.91,-7.49625,-179.91,,,188.739,188.739,188.739,564.004,0.0753052,0.246279,0.610747,114.41,116.133,115.272,4686.41,6533.35,4277.08,"[[321.05, 122.583, 122.583, 0, 0, 0], [122.583, 321.05, 122.583, 0, 0, 0], [122.583, 122.583, 321.05, 0, 0, 0], [0, 0, 0, 127.4, 0, 0], [0, 0, 0, 0, 127.4, 0], [0, 0, 0, 0, 0, 127.4]]",287.322,196.221,565.996,61.545,60.7047,8.56073,0.0000239,1.92329,0.202801,4.86723,29.9025,717.66,
N2Re2,aflow:24a48e16f3e57dff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1Re1_ICSD_181300,hP4,D_6h,2_x_dihedral,centrosymmetric,194,194,hP4,hexagonal,2,"['N', 'Re']",4,16.4777,10.0879,40.3517,"[-1.3428, -1.3428, 1.3428, 1.3428]","[8.596, 8.596, 11.58, 11.58]",0,"[2.80639, 2.19376, 2.80639]",0,-8.54174,-34.167,-8.54174,-34.167,,,375.94,382.7,379.32,543.546,0.0543629,0.262957,0.563067,212.808,214.357,213.582,3944.82,5499.5,3600.27,"[[645.417, 182.667, 271.417, 0, 0, 0], [184.733, 643.45, 271.333, 0, 0, 0], [271.567, 272.867, 704.3, 0, 0, 0], [0, 0, 0, 205.967, 0, 0], [0, 0, 0, 0, 213.7, 0], [0, 0, 0, 0, 0, 229.583]]",539.491,344.588,546.987,10.3686,10.2306,29.4751,0.0000206,2.18292,0.210451,0.841804,26.7508,107.003,
Pd4Sb4Se4,aflow:24b3bba3048aacd7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pd1Sb1Se1_ICSD_93905,cP12,T,alternating,enantiomorphic,198,198,cP12,cubic,3,"['Pd', 'Sb', 'Se']",12,7.73227,21.9844,263.813,"[-0.2696, -0.2696, -0.2696, -0.2696, 0.6894, 0.6894, 0.6894, 0.6894, -0.4197, -0.4197, -0.4197, -0.4197]","[19.09, 19.09, 19.09, 19.09, 23.16, 23.16, 23.16, 23.16, 23.71, 23.71, 23.71, 23.71]",0,"[4.50585, 2.68121, 2.65538, 3.92759, 2.67761, 3.92974]",0,-3.83878,-46.0654,-3.83878,-46.0654,,,81.2847,80.8074,81.0461,220.501,0.265757,0.346465,0.342085,26.9914,28.4578,27.7246,2074.78,2892.46,1893.56,"[[129.8, 56.1667, 56.1667, 0, 0, 0], [56.1667, 129.8, 56.1667, 0, 0, 0], [56.6, 56.1667, 129.8, 0, 0, 0], [0, 0, 0, 22.9333, 0, 0], [0, 0, 0, 0, 22.9333, 0], [0, 0, 0, 0, 0, 22.9333]]",74.6604,101.335,232.095,36.3049,34.9919,1.24442,0.0000528,2.33102,0.420718,5.04862,-46.459,-557.508,
Na4Ni2O4,aflow:24b6a3569c894ca4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Na2Ni1O2_ICSD_14159,oS20,C_2v,dihedral,polar,36,36,oS20,orthorhombic,3,"['Na', 'Ni', 'O']",10,3.76808,12.0456,120.456,"[0.8334, 0.8334, 0.8287, 0.8287, 0.7988, 0.7988, -1.2228, -1.2228, -1.238, -1.238]","[8.589, 8.589, 8.663, 8.663, 13.42, 13.42, 14.62, 14.62, 14.94, 14.94]",0,"[2.84353, 2.77265, 2.31112, 2.84353, 1.90329, 2.54708]",2.3481,-4.28594,-42.8594,-4.28594,-42.8594,-6.31766,6949.66,72.498,77.4593,74.9786,400.189,5.61412,0.324531,0.397429,19.1685,40.4289,29.7987,3081.28,4295.63,2812.15,"[[252.833, 31.0833, 22.4, 0, 0, 0], [32.6167, 92.1333, 68.7333, 0, 0, 0], [21.9833, 67.3333, 108.567, 0, 0, 0], [0, 0, 0, 48, 0, 0], [0, 0, 0, 0, 7.26667, 0], [0, 0, 0, 0, 0, 36.3]]",78.9385,205.622,443,28.4327,27.0751,2.61306,0.0000775,2.13053,0.262031,2.62031,6.88374,68.8374,
Co4P12,aflow:24c9f9f43f703229,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Co1P3_ICSD_92393,cI32,T_h,2_x_alternating,centrosymmetric,204,204,cI32,cubic,2,"['Co', 'P']",16,4.42834,14.2356,227.77,"[-0.0682, -0.0682, -0.0695, -0.0682, -0.0077, 0.0522, 0.0546, -0.0077, 0.0522, -0.0077, -0.0077, 0.0546, -0.0077, 0.0522, 0.0546, -0.0077]","[11.03, 11.03, 10.99, 11.03, 15.41, 15.21, 15.19, 15.41, 15.21, 15.41, 15.41, 15.19, 15.41, 15.21, 15.19, 15.41]",0,"[3.84721, 2.21739, 2.24722]",0,-5.2508,-84.0128,-5.2508,-84.0128,,,135.732,135.7,135.716,678.128,0.0128843,0.17548,0.828222,112.256,112.55,112.403,5520.27,7695.84,5038.11,"[[295.267, 55.8667, 55.8667, 0, 0, 0], [55.8667, 295.267, 55.8667, 0, 0, 0], [56.0167, 55.8667, 295.267, 0, 0, 0], [0, 0, 0, 107.8, 0, 0], [0, 0, 0, 0, 107.8, 0], [0, 0, 0, 0, 0, 107.8]]",264.254,265.096,668.224,38.9309,37.9632,8.88978,0.0000385,2.20522,0.167674,2.68278,45.3629,725.807,
Au2Sn2Y2,aflow:24d286f63e02efd3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Au1Sn1Y1_ICSD_612362,hP6,D_6h,2_x_dihedral,centrosymmetric,194,194,hP6,hexagonal,3,"['Au', 'Sn', 'Y']",6,9.26293,24.1749,145.05,,,0,"[4.6266, 2.73506, 3.31082, 4.6266, 3.31086, 3.73162]",0,-4.50736,-27.0442,-4.50736,-27.0442,,,67.4428,81.1537,74.2983,212.908,0.462392,0.306617,0.444009,32.1559,33.8222,32.9891,2067.78,2882.7,1887.17,"[[148.317, 78.7833, 50.4667, 0, 0, 0], [79.05, 148.5, 50.4667, 0, 0, 0], [50.3333, 50.4, 74.4, 0, 0, 0], [0, 0, 0, 33.8667, 0, 0], [0, 0, 0, 0, 35.2667, 0], [0, 0, 0, 0, 0, 36.1]]",86.2082,121.621,220.916,18.2204,17.544,2.30734,0.000054,2.33867,0.433588,2.60153,-50.5327,-303.196,
Al6C8Zr4,aflow:24e4050ed5191b98,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al3C4Zr2_ICSD_153859,hP18,C_6v,dihedral,polar,186,194,hP18,hexagonal,3,"['Al', 'C', 'Zr']",18,4.72722,12.1551,218.792,,,0,"[2.79788, 1.94201, 2.97275, 3.32787, 2.34167, 3.26024]",0,-7.7039,-138.67,-7.7039,-138.67,-8.27144,5026.65,187.898,189.461,188.68,796.364,0.0375968,0.187537,0.789354,148.5,149.37,148.935,6150.19,8574.01,5613.01,"[[397.017, 110.2, 87.8667, 0, 0, 0], [110.017, 396.967, 87.85, 0, 0, 0], [87.9, 87.6333, 339.267, 0, 0, 0], [0, 0, 0, 160.783, 0, 0], [0, 0, 0, 0, 160.7, 0], [0, 0, 0, 0, 0, 142.933]]",353.732,301.441,789.912,39.6229,39.0662,16.2974,0.0000251,1.89667,0.134178,2.41521,62.2627,1120.73,
Ni2O2Zr6,aflow:24e8ff734a8002be,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ni1O1Zr3_ICSD_71964,oS20,D_2h,2_x_dihedral,centrosymmetric,63,63,oS20,orthorhombic,3,"['Ni', 'O', 'Zr']",10,7.1175,16.2543,162.543,"[-1.7205, -1.7205, -1.4622, -1.4622, 1.09, 1.0901, 1.09, 1.0901, 1.0026, 1.0026]","[19.91, 19.91, 10.8, 10.8, 16.61, 16.61, 16.61, 16.61, 17.34, 17.34]",0,"[3.3545, 3.47899, 2.66294, 3.3545, 2.29919, 3.14523]",0,-7.76733,-77.6733,-7.76733,-77.6733,,,151.905,151.743,151.824,393.637,0.189187,0.308896,0.438013,65.2591,67.7422,66.5006,3349.21,4669.15,3056.68,"[[265.733, 112.617, 92.9167, 0, 0, 0], [111.517, 239.783, 95.35, 0, 0, 0], [95.0333, 97.8833, 254.167, 0, 0, 0], [0, 0, 0, 46.65, 0, 0], [0, 0, 0, 0, 72.2, 0], [0, 0, 0, 0, 0, 67.6333]]",174.085,184.271,396.917,28.0656,27.5613,6.3661,0.0000311,1.95239,0.284921,2.84921,-1.35809,-13.5809,
Al1F3,aflow:24f1327f80e631d8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1F3_ICSD_130021,cP4,O_h,2_x_symmetric,centrosymmetric,221,221,cP4,cubic,2,"['Al', 'F']",4,2.89373,12.0473,48.1893,"[2.3904, -0.7968, -0.7968, -0.7968]","[6.303, 13.96, 13.96, 13.96]",0,"[3.63901, 1.81951, 2.57317]",7.4209,-5.89273,-23.5709,-5.89273,-23.5709,-14.2488,73510.4,124.739,124.739,124.739,730.728,0.93076,0.245942,0.611725,69.8084,82.8033,76.3058,5626.56,7844.01,5135.11,"[[293.217, 40.5, 40.5, 0, 0, 0], [40.5, 293.217, 40.5, 0, 0, 0], [40.5, 40.5, 293.217, 0, 0, 0], [0, 0, 0, 53.7667, 0, 0], [0, 0, 0, 0, 53.7667, 0], [0, 0, 0, 0, 0, 53.7667]]",190.145,444.122,705.302,9.50722,9.25413,17.2537,0.0000457,1.99283,0.156791,0.627165,50.5696,202.278,
Al1Ti1,aflow:24f9d0cd72c1f0e5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Al1Ti1_ICSD_107891,tP2,D_4h,2_x_dihedral,centrosymmetric,123,123,tP2,tetragonal,2,"['Al', 'Ti']",2,3.63343,17.1111,34.2221,"[-0.8955, 0.8955]","[20.82, 13.4]",0.569171,"[2.85121, 2.91462, 2.85121]",0,-4.70629,-9.41258,-4.70629,-9.41258,,,105.085,105.083,105.084,542.338,0.743843,0.238101,0.6346,62.0692,71.3033,66.6863,4694.1,6544.07,4284.1,"[[223.017, 21.15, 71.6, 0, 0, 0], [21.15, 222.95, 71.6, 0, 0, 0], [70.7333, 70.7333, 172.817, 0, 0, 0], [0, 0, 0, 83.9667, 0, 0], [0, 0, 0, 0, 83.9667, 0], [0, 0, 0, 0, 0, 36.8167]]",165.129,415.899,524.039,5.34691,5.18804,20.0674,0.0000479,2.10303,0.221082,0.442163,22.4729,44.9457,
Ge2,aflow:253b629a6a736677,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ge1_ICSD_53643,tI4,D_4h,2_x_dihedral,centrosymmetric,141,141,tI4,tetragonal,1,['Ge'],2,6.30541,19.1167,38.2334,"[0.0014, -0.0014]","[19.11, 19.13]",0,[2.67813],0,-4.27334,-8.54668,-4.27334,-8.54668,0.460765,0,71.7871,71.6028,71.6949,279.334,0.962926,0.300185,0.461045,30.1442,35.965,33.0546,2508.72,3497.42,2289.6,"[[103.058, 72.025, 48.2583, 0, 0, 0], [71.95, 102.533, 48.2583, 0, 0, 0], [48.2, 47.925, 101.867, 0, 0, 0], [0, 0, 0, 40.9667, 0, 0], [0, 0, 0, 0, 40.9667, 0], [0, 0, 0, 0, 0, 51.5667]]",85.9542,215.093,271.072,6.04615,5.7747,5.27108,0.0000718,2.15828,0.383142,0.766284,-34.4218,-68.8437,
Cu2Sb2Yb2,aflow:2541a86599e6e0b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cu1Sb1Yb1_ICSD_57021,hP6,C_6v,dihedral,polar,186,186,hP6,hexagonal,3,"['Cu', 'Sb', 'Yb']",6,8.4455,23.4851,140.911,"[-0.2821, -0.2821, -0.9789, -0.9789, 1.261, 1.261]","[18.48, 18.48, 33.57, 33.57, 18.4, 18.4]",0,"[4.49892, 2.60074, 3.23833, 4.49892, 3.24963, 4.01938]",0,-3.15886,-18.9531,-3.15886,-18.9531,,,47.661,57.0148,52.3379,232.184,0.469075,0.226026,0.670395,34.1553,36.0189,35.0871,2233.34,3113.51,2038.27,"[[128.717, 47.6833, 24.6333, 0, 0, 0], [47.5, 128.417, 24.6333, 0, 0, 0], [25.7667, 25.6333, 59.8333, 0, 0, 0], [0, 0, 0, 33.2, 0, 0], [0, 0, 0, 0, 33.2167, 0], [0, 0, 0, 0, 0, 40.7167]]",86.0353,129.325,235.085,18.3307,17.4893,2.9805,0.0000739,2.13188,0.419031,2.51418,-45.9231,-275.539,
O24Tb16,aflow:254e98026a32ace6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/O3Tb2_ICSD_27995,cI80,T,alternating,enantiomorphic,199,206,cI80,cubic,2,"['O', 'Tb']",40,7.84462,15.4885,619.54,"[-1.3409, -1.3393, -1.3407, -1.3397, -1.3409, -1.3393, -1.3407, -1.3395, -1.3409, -1.3393, -1.3407, -1.3397, -1.3411, -1.3405, -1.3394, -1.3393, -1.3411, -1.3405, -1.3397, -1.3393, -1.3411, -1.3405, -1.3394, -1.3393, 2.0296, 2.0211, 2.0211, 2.0211, 2.0048, 2.0062, 2.0048, 2.0062, 2.0048, 2.0062, 2.0064, 2.006, 2.0064, 2.006, 2.0064, 2.006]","[15.7, 15.64, 15.67, 15.66, 15.7, 15.64, 15.67, 15.65, 15.7, 15.64, 15.67, 15.66, 15.7, 15.67, 15.65, 15.65, 15.7, 15.67, 15.67, 15.65, 15.7, 15.67, 15.65, 15.65, 14.99, 15.11, 15.11, 15.11, 15.27, 15.26, 15.27, 15.26, 15.27, 15.26, 15.27, 15.27, 15.27, 15.27, 15.27, 15.27]",0,"[2.95427, 2.27912, 3.5601]",3.9046,-8.39418,-335.767,-8.39418,-335.767,,,138.516,139.361,138.939,367.206,0.109784,0.306418,0.444534,61.1291,62.3967,61.7629,3074.47,4286.14,2805.94,"[[208.45, 104.983, 104.983, 0, 0, 0], [104.983, 208.45, 104.983, 0, 0, 0], [104.483, 104.983, 208.45, 0, 0, 0], [0, 0, 0, 69.45, 0, 0], [0, 0, 0, 0, 69.45, 0], [0, 0, 0, 0, 0, 69.45]]",161.376,109.358,373.94,113.803,111.329,2.05475,0.0000367,2.00687,0.299804,11.9921,-6.57868,-263.147,
Ga1P1Pt5,aflow:25528b361849601b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ga1P1Pt5_ICSD_635044,tP7,D_4h,2_x_dihedral,centrosymmetric,123,123,tP7,tetragonal,3,"['Ga', 'P', 'Pt']",7,16.8193,15.1782,106.247,"[0.9655, 0.3742, -0.4514, -0.29, -0.171, -0.2732, -0.1542]","[10.93, 11.04, 17.25, 17.11, 16.51, 17, 16.4]",0,"[3.92208, 4.4292, 2.77333, 3.92208, 2.43605, 2.77333]",0,-4.21107,-29.4775,-4.21107,-29.4775,,,212.521,212.907,212.714,261.921,0.961075,0.358497,0.312484,60.6517,72.2878,66.4697,2178.21,3036.66,1987.96,"[[285.8, 214.4, 148.317, 0, 0, 0], [214.4, 285.8, 148.317, 0, 0, 0], [149.3, 149.3, 320.533, 0, 0, 0], [0, 0, 0, 56.9, 0, 0], [0, 0, 0, 0, 56.9, 0], [0, 0, 0, 0, 0, 120.933]]",180.598,138.531,265.078,20.7353,20.2247,2.99711,0.0000332,2.5112,0.38531,2.69717,-35.1229,-245.861,
Si4Th6,aflow:2567bb70df799057,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Si2Th3_ICSD_652398,tP10,D_4h,2_x_dihedral,centrosymmetric,127,127,tP10,tetragonal,2,"['Si', 'Th']",10,9.15582,27.2875,272.875,"[-1.2328, -1.3537, -1.3537, -1.2328, 0.5742, 0.5742, 1.0075, 1.0049, 1.0049, 1.0075]","[24.27, 24.87, 24.87, 24.27, 30.56, 30.56, 28.34, 28.37, 28.37, 28.34]",0,"[2.52545, 3.18147, 3.63017]",0,-6.69411,-66.9411,-6.69411,-66.9411,,,93.7655,93.9463,93.8559,253.293,0.303679,0.273678,0.533076,48.5668,51.4978,50.0323,2561.35,3570.79,2337.63,"[[165.233, 48.6167, 69.9833, 0, 0, 0], [48.6167, 165.233, 69.9833, 0, 0, 0], [70.5167, 70.65, 136.817, 0, 0, 0], [0, 0, 0, 61.9, 0, 0], [0, 0, 0, 0, 61.9, 0], [0, 0, 0, 0, 0, 40.9667]]",127.45,118.361,254.984,29.507,28.9637,4.30489,0.0000317,1.95658,0.393826,3.93826,-37.8685,-378.685,
Te2Zr2,aflow:2569fc8b7fa52c87,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Te1Zr1_ICSD_52514,hP4,D_6h,2_x_dihedral,centrosymmetric,194,194,hP4,hexagonal,2,"['Te', 'Zr']",4,7.37412,24.6375,98.5498,"[-1.0783, -1.0783, 1.0783, 1.0783]","[30.04, 30.04, 19.24, 19.24]",0,"[3.74179, 2.96571, 3.74179]",0,-6.46839,-25.8736,-6.46839,-25.8736,-2.50344,10478,87.6091,90.5722,89.0906,290.751,0.514966,0.265206,0.556734,47.3229,51.8767,49.5998,2841.69,3961.62,2593.49,"[[132.5, 47.5667, 73.7, 0, 0, 0], [47.45, 132.517, 73.6167, 0, 0, 0], [73.4167, 73.3, 160.933, 0, 0, 0], [0, 0, 0, 69.7333, 0, 0], [0, 0, 0, 0, 70.1667, 0], [0, 0, 0, 0, 0, 42.3667]]",125.508,184.578,293.083,11.7474,11.4619,7.39445,0.0000394,2.08191,0.360463,1.44185,-27.0292,-108.117,
Nb1Rh1Sb1,aflow:256d3f9bf77a29d5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nb1Rh1Sb1_ICSD_107122,cF12,T_d,symmetric,none,216,216,cF12,cubic,3,"['Nb', 'Rh', 'Sb']",3,8.78359,20.0117,60.0352,"[1.1471, -1.1925, 0.0454]","[16.84, 20.14, 23.06]",0.327573,"[4.39515, 2.69147, 3.10784, 4.39515, 2.69147, 4.39515]",0,-5.85965,-17.5789,-5.85965,-17.5789,,,151.611,151.611,151.611,260.731,0.0260071,0.37497,0.272799,41.2521,41.4667,41.3594,2377.63,3314.66,2169.96,"[[202.1, 126.367, 126.367, 0, 0, 0], [126.367, 202.1, 126.367, 0, 0, 0], [126.367, 126.367, 202.1, 0, 0, 0], [0, 0, 0, 43.8667, 0, 0], [0, 0, 0, 0, 43.8667, 0], [0, 0, 0, 0, 0, 43.8667]]",113.736,182.354,262.941,8.84825,8.66954,5.15086,0.0000309,2.20762,0.386008,1.15802,-35.3485,-106.046,
Ho2Mg2Sn2,aflow:25718c51ac0a4391,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ho1Mg1Sn1_ICSD_183526,tI12,D_4h,2_x_dihedral,centrosymmetric,139,139,tI12,tetragonal,3,"['Ho', 'Mg', 'Sn']",6,6.61337,25.7721,154.633,"[1.2415, 1.2415, 0.9679, 0.9679, -2.2129, -2.2059]","[21.19, 21.19, 12.4, 12.4, 43.76, 43.67]",0,"[4.08979, 3.45444, 3.12734, 3.11348, 3.1029, 4.37315]",0,-3.85227,-23.1136,-3.85227,-23.1136,,,57.4544,57.5167,57.4855,260.789,0.803338,0.235749,0.641515,34.139,39.6167,36.8778,2587.4,3607.11,2361.41,"[[104.683, 49.95, 21.15, 0, 0, 0], [49.95, 104.683, 21.15, 0, 0, 0], [20.9833, 20.9833, 124.117, 0, 0, 0], [0, 0, 0, 26.45, 0, 0], [0, 0, 0, 0, 26.45, 0], [0, 0, 0, 0, 0, 64.7167]]",91.1436,143.634,261.001,17.9277,17.3589,4.42545,0.0000556,1.94064,0.38991,2.33946,-36.6077,-219.646,
Bi2Co1Hf6,aflow:2582fcb8a8d0c226,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Bi2Co1Hf6_ICSD_54566,hP9,D_3h,dihedral,none,189,189,hP9,hexagonal,3,"['Bi', 'Co', 'Hf']",9,13.3255,21.4312,192.881,"[-1.4382, -1.4381, -1.9394, 0.7701, 0.7658, 0.7702, 0.8384, 0.8282, 0.843]","[29.93, 29.93, 19.4, 19.42, 19.45, 19.42, 18.43, 18.5, 18.4]",0,"[3.60007, 4.88481, 3.02474, 3.60007, 2.56967, 3.17631]",0,-8.07058,-72.6352,-8.07058,-72.6352,,,114.372,113.919,114.145,253.517,0.168428,0.269751,0.544003,61.0431,63.1478,62.0954,2365.27,3297.43,2158.68,"[[188.033, 87.5833, 73.4833, 0, 0, 0], [84.8833, 190.867, 73.0667, 0, 0, 0], [71.3, 72.6667, 182.467, 0, 0, 0], [0, 0, 0, 77.4333, 0, 0], [0, 0, 0, 0, 76.9667, 0], [0, 0, 0, 0, 0, 51.5333]]",157.691,126.437,262.97,26.5123,26.0151,5.21133,0.0000319,1.97912,0.386853,3.48168,-35.6215,-320.594,
Au1Pb1Tb1,aflow:25be4a59258b7c86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au1Pb1Tb1_ICSD_58569,cF12,T_d,symmetric,none,216,216,cF12,cubic,3,"['Au', 'Pb', 'Tb']",3,11.7056,26.6264,79.8791,"[-1.2935, -0.222, 1.5155]","[28.19, 31.7, 19.99]",0,"[4.83411, 2.96027, 2.96027, 4.83411, 3.41823, 4.83411]",0,-3.83905,-11.5172,-3.83905,-11.5172,,,70.9833,70.9833,70.9833,177.956,0.129881,0.309056,0.437592,30.6635,31.46,31.0617,1784.88,2488.31,1628.98,"[[105.017, 53.9667, 53.9667, 0, 0, 0], [53.9667, 105.017, 53.9667, 0, 0, 0], [53.9667, 53.9667, 105.017, 0, 0, 0], [0, 0, 0, 35.4167, 0, 0], [0, 0, 0, 0, 35.4167, 0], [0, 0, 0, 0, 0, 35.4167]]",81.3231,122.032,175.99,9.20752,8.85533,2.72298,0.0000564,2.31439,0.492071,1.47621,-68.8098,-206.429,
H2Ti2,aflow:26141d4e46abcb0e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/H1Ti1_ICSD_168325,tP4,D_4h,2_x_dihedral,centrosymmetric,131,131,tP4,tetragonal,2,"['H', 'Ti']",4,3.86985,10.4931,41.9725,"[-0.9066, -0.9066, 0.8956, 0.9177]","[6.672, 6.672, 14.38, 14.25]",0,"[2.32011, 1.89923, 3.00755]",0,-4.46254,-17.8502,-4.46254,-17.8502,,,126.442,126.722,126.582,532.918,3.08788,0.32702,0.391058,37.8283,61.1733,49.5008,3918.79,5463.21,3576.51,"[[233.167, 52.95, 85.8667, 0, 0, 0], [53.1667, 232.95, 85.8667, 0, 0, 0], [85.85, 85.5, 225.05, 0, 0, 0], [0, 0, 0, 68.65, 0, 0], [0, 0, 0, 0, 68.6667, 0], [0, 0, 0, 0, 0, 13.05]]",131.377,330.099,523.903,10.6802,10.3763,9.50856,0.0000531,1.82814,0.221099,0.884396,22.4659,89.8635,
Er1Hg1,aflow:262144eeb6ffb0cd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Er1Hg1_ICSD_103245,cP2,O_h,2_x_symmetric,centrosymmetric,221,221,cP2,cubic,2,"['Er', 'Hg']",2,12.1611,25.1141,50.2281,"[1.3825, -1.3825]","[18.8, 31.43]",0,"[3.68963, 3.19531, 3.68963]",0,-2.91317,-5.82633,-2.91317,-5.82633,,,71.3222,71.3222,71.3222,147.6,4.08508,0.363901,0.299359,15.1586,27.5433,21.3509,1451.83,2024,1325.02,"[[81.7333, 66.1167, 66.1167, 0, 0, 0], [66.1167, 81.7333, 66.1167, 0, 0, 0], [66.1167, 66.1167, 81.7333, 0, 0, 0], [0, 0, 0, 40.7, 0, 0], [0, 0, 0, 0, 40.7, 0], [0, 0, 0, 0, 0, 40.7]]",58.2412,117.468,147.967,6.14224,5.93135,2.48399,0.0000548,2.11159,0.535888,1.07178,-82.3191,-164.638,
